username,review_date,star_rating,friend_count,reivew_count,review_text
Annie C,2/8/2020,3 ,585,9,Got the winterlicious menu. 3 stars due to mediocre service and food. Best part of this restaurant is the interior design. Windows in the back tint into a mirror at night live plants everywhere comfy booths and tables. I went after sunset so couldn't see the whole greenhouse effect but I'm sure it's bright and beautiful throughout the day. Food-wise I've had better vegan food. - The app came with chips (doesn't say on the menu!!!). The chips were too tough and thick and hard to chew. Chip to ceviche ratio was too high. - Entree only came with two tortilla wraps way too little compared to the larger portion of mole and sun chokes. - Churro dessert was more of a cake with ice cream on top. The texture was gummy and tough--although props on having a vegan churro dish on the menu. Service was slow had to wait 20 min for the bill to come after asking multiple times.Overall good vegan option to try and a great environment to chat over food but won't be craving for the food here.
Tania L,3/10/2019,3 ,231,417,This review would've received a 2.5 star for the food but the service was pretty good. Chantele is one of the best waitresses! She was very friendly and easy to chat to and decently attentive enough given that the restaurant was packed on the Friday night we went. Based off Chantele's recommendations we got the multigrain chicharron ($9) to share. It's honestly just your typical multigrain chips served with a small side of guacamole and a red sisil pak made with serrano and ancho. There was NOT enough dip for the chips and we were disappointed when we quickly ran out of the chunky guacamole. The other dip was interesting; it was fairly spicy with a grainy texture. Having heard my fellow Yelpers I knew in advance that the portions would be small and therefore recommended to my friends to order the Rosa burger ($18) if they wanted to be full. Indeed the burger was the most filling item on the menu; it came with a bunch of fries on the side and was pretty hefty. My friend who had the burger said that it was a pretty solid vegan burger. That said I thought the fries were quite mediocre... they were limp and soft. Around three of my friends ordered the tofu and rice bowl ($17) - one loved it but the other two were unimpressed. Apparently it was just a mishmash of various items and lacked in seasoning and flavour. The other friend who ordered the taco just picked at it... A couple of my friends then ordered the tres leches cake and greatly enjoyed it!As I had ate most of the chicharron I wasn't hungry - as such I ordered the seasonal salad. Priced at $14 you'd think it'd be a decent serving size - but the salad was so small that it could fit into the palm of my hand. The plate was nicely presented (the avocado artistically draped over the small arugula bits with a drizzle of the avo-sesame vinaigrette and the pomegranate and chickpeas added a pop of colour) and the taste was okay but it was truly unfulfilling.Though Rosalinda is very instagrammable and aesthetically pleasing the food is truly underwhelming and overpriced. Likely won't come again!
Karishma M,3/23/2019,4 ,381,110,We got flautas chilaquiles tacos and the tres leches cake.The flautas (which was my order and I really enjoyed) and tacos were good. Chilaquiles (which we shared) were not as good as the flautas and tacos. We had mixed feelings about the tres leches cake. The pineapple in it was really strong so we ended up not liking it. We removed the pineapple for some bites and then it was better but it's kind of like a standard cake at that point.Based on the prior reviews I thought Rosalinda was going to be bad but as American vegans visiting Toronto I wanted to at least try it. It was definitely not bad. I think it matches up to the other reviews in that some dishes are better than others and you can correspondingly have a hit or miss experience.
David Y,8/7/2019,3 ,193,223,As we went on our date with Rosalinda my wife and I had dreams of this being a lifelong relationship. We had high hopes - she was after all an absolute stunner with her gorgeous interiors (cool architecture clean lines bright vibe) and great service. But as we engaged with her more I guess we just didn't click with what was most important to us - the food! We came here for lunch and got:- Guac and chips: Pretty good. The guac was nice and creamy though portion size was a bit small. The chips were pretty standard.- Rosaburger: I've seen a lot of hype for this burger and frankly I prefer the ones at Planta and Fresh. It wasn't bad it just wasn't the best vegan/vegetarian one I've had. Upgraded to the  fry supreme for my side which was awesome (the cashew crema on it was really good).- Chorizo Quinoa Bowl: This was the biggest disappointment as there just wasn't a lot of taste and contrasting flavours in this dish.- Spicey Churros: Good fry decent size. And the side dulce de coco was a nice approximation of dulce de leche.- Chocolate Mousse: The cocount-date crumble added a nice texture to this standard mousse.Rosalinda was pleasant yet forgettable. I can see why others would fall in love with her. Unfortunately she just wants our type.
Ashley Y,1/23/2019,3 ,24,95,"I love trying vegan restaurants to see how they measure up to their non-vegan counterparts but this restaurant just didn't do it for me. Paid $35 for 5 dishes split with a friend and found these are way too overpriced. Normally you have to eat a bit more if you're ordering vegan to get your protein and fibre in but the portions here were TINY. One thing I did enjoy was the atmosphere - it felt like sitting in a zen greenhouse!VEGGIE FRITTERS (4/5): Loved the flavour of these; they reminded me of indian veggie pakora but made out of sweet potato and broccoli. You get 5 tator tot sized fritters with some sort of thick bean paste to dip them in. CHORIZO ROJO TACO (3/5): My fave part was the black bean tortilla. The filling tasted like a combo of lentils and bean with some sort of salsa verde sauce. Not my fave dish of the evening. JACKFRUIT PIBIL TACO (3/5): Loved the flavour of the actual jackfruit but I felt the majority of the taco was fluffed up with the slaw (i think radish) and taro chips. ROASTED EGGPLANT (3.5/5): These were good but portion was tiny - you get three small eggplant halves. Most flavourful dish so far but didn't think the chopped peanuts went well with the dish. TRES LECHES CAKE (4.5/5): Absolutely worth ordering!! The coconut cream topped with more coconut chips was so delicious that I was basically licking off the plate. Nothing special about the cake and I thought the ""leches"" sauce tasted a bit too fake from the real deal although the grilled pineapple was a nice touch if you mix it in with the sauce. Don't think I'll be back there's other vegan restaurants in the city better off with your money."
Janna S,7/16/2019,5 ,176,576,A friend recently introduced me to Rosalinda and I'm already plotting a return. Although I'm not vegan or vegetarian I will happily opt for those menu choices when the food is prepared by talented chefs since these types of dishes are labour intensive and require advanced prep and experience. The service was excellent throughout our meal with plenty of attention accommodating dietary restrictions and food intolerances.My favourite item was from their sharing menu CHILAQUILES VERDES with crispy tortilla avocado jalapeno kale cashew crema and queso. WOW! I actually had to pause after the first bite and simply appreciate how delicious this was. Also tried their avocado tostadas and chorizo tacos and I did not leave disappointed. Prices are about what you'd expect for this area but it's such a treat! Their mocktail game is strong but you will pay cocktail prices. Bathrooms were very clean and I appreciate the funky décor continuity.
Valerie Q,2/23/2020,5 ,25,18,I don't know what was better... the food or service. We had to sit at the bar because it was busy. The bartender was very helpful and really nice. We were there on a Saturday evening. They suggested items and they were a hit. Food was delicious. The green salsa brought me back to Mexico. I didn't miss meat at all. If I could always eat this food I'd definitely become a vegan. The overall vibe was great too.
Brianna P,2/13/2020,5 ,4,10,This place is a must try for vegans!  There are not many vegan spots that have amazing vegan food with lots of flavour and options and this place had it all!  The food was fresh tasty and clean.  There were so many options with a Mexican modern vibe fusion feel.  The restaurant is super cute with a relaxing inviting airy atmosphere.  It's the perfect date spot or business meeting location because of cool calm environment.  They use reusable straws which I haven't seen in many restaurants yet.  Must try!
Sharon Y,6/2/2019,4 ,76,21,"First off the decor in this place is absolutely gorgeous. Totally instagrammable if you care about stuff like that.My friends and I came here for brunch on a Saturday. We booked a table in advance but I don't think that's necessary because there were plenty of empty seats when we got there.The waitstaff are patient and friendly and they checked in on us often to help us refill waters and such. We took a long time to place our order because we were waiting for our full party to arrive and they were very kind about it. The food itself was reasonably priced (most things around $12-$15). In fact my friends and I were quite surprised at how low the prices were given the location in the financial district and how nice the restaurant was. My friends and I ordered a variety of dishes that were all ""decently good"". I'm not a vegan so I will say that it's good for a healthy meal but it does lack the greasy heartiness of your regular brunch options (whether or not this is a plus is up to you).I ordered the Chilaquiles Verdes ($15) and it came as fried tortilla chips with various sauces and a mystery meat substitute. My friends and I agreed that we couldn't quite place what the meat substitute was or what the flavour of the dish could be considered but we thought it was tasty nonetheless. Nothing to call home about but it was my favourite dish of the table.For dessert we shared the spiced churros ($8). They came as a stack of 6 mini churros with a chocolate dipping sauce. I personally didn't really like this dish because the churros were very dense and heavy unlike the light and crisp texture you'd expect. The chocolate sauce also tasted a bit off. I'd probably skip this one.Overall the food was just okay but everything else about the restaurant (price decor and service) made up for it. If I'm feeling healthy or I need an Instagram pic I'll probably come back. Not the tastiest vegan food I've had but also not the worst."
Celine D,12/28/2019,5 ,89,23,Wow! My friend and I have been to most of the vegan restaurants downtown and Rosalinda was one of our top favourites. I was craving some Mexican food so we decided to try it out. The restaurant itself isn't in a busy location so it was a nice quiet brunch spot. The brunch menu had a decent selection and I decided on the chilaquiles as I've never tried the dish before. They came with a cashew queso avocado jalapenos and a vegan chorizo mix. I tried some of my friend's enchiladas and the flavours were super bold and delicious. For the portion size the prices were very fair and service was great. I'd definitely come back to try their regular menu!
